Count,ServerTime,WorkerName,WorkerTime,ProcedureId,ActiveProcessingCount,Host_CPU,Host_Memory_Total,Host_Memory_Used,Host_Memory_UsedPercentage,Worker_CPU,Worker_Memory_Total,Worker_Memory_Used,Worker_Memory_UsedPercentage,ProcessingId_1,Processing_CPU_1,Processing_Memory_Total_1,Processing_Memory_Used_1,Processing_Memory_UsedPercentage_1,ProcessingId_2,Processing_CPU_2,Processing_Memory_Total_2,Processing_Memory_Used_2,Processing_Memory_UsedPercentage_2,ProcessingId_3,Processing_CPU_3,Processing_Memory_Total_3,Processing_Memory_Used_3,Processing_Memory_UsedPercentage_3
41,2025-03-14T05:20:35.036Z,w3,2025-03-14T05:21:01.739Z,2025-03-14-02-19-50@1,1,17.28,16595943424,1650757632,9.95,0.54,16595943424,75726848,0.46,df1ad318-0b26-4029-8a81-8681c6d34c33,249.83,16595943424,766967808,4.62,,,,,,,,,,
42,2025-03-14T05:20:36.039Z,w3,2025-03-14T05:21:02.742Z,2025-03-14-02-19-50@1,1,31.45,16595943424,1656852480,9.98,0.63,16595943424,75726848,0.46,df1ad318-0b26-4029-8a81-8681c6d34c33,197.41,16595943424,793309184,4.78,,,,,,,,,,
43,2025-03-14T05:20:37.046Z,w3,2025-03-14T05:21:03.747Z,2025-03-14-02-19-50@1,1,26.57,16595943424,1684283392,10.15,7.21,16595943424,74010624,0.45,df1ad318-0b26-4029-8a81-8681c6d34c33,0,,,,,,,,,,,,,
44,2025-03-14T05:20:38.045Z,w3,2025-03-14T05:21:04.749Z,2025-03-14-02-19-50@1,0,6.78,16595943424,901312512,5.43,37.33,16595943424,73261056,0.44,,,,,,,,,,,,,,,
45,2025-03-14T05:20:39.049Z,w3,2025-03-14T05:21:05.750Z,2025-03-14-02-19-50@1,0,4.88,16595943424,911007744,5.49,119.1,16595943424,119709696,0.72,,,,,,,,,,,,,,,
46,2025-03-14T05:20:40.050Z,w3,2025-03-14T05:21:06.753Z,2025-03-14-02-19-50@1,0,11.59,16595943424,917078016,5.53,7.82,16595943424,78536704,0.47,,,,,,,,,,,,,,,
47,2025-03-14T05:20:41.051Z,w3,2025-03-14T05:21:07.754Z,2025-03-14-02-19-50@1,0,4.39,16595943424,916914176,5.52,84.93,16595943424,120938496,0.73,,,,,,,,,,,,,,,
48,2025-03-14T05:20:42.057Z,w3,2025-03-14T05:21:08.759Z,2025-03-14-02-19-50@1,0,7.74,16595943424,922476544,5.56,7.02,16595943424,80502784,0.49,,,,,,,,,,,,,,,
49,2025-03-14T05:20:43.057Z,w3,2025-03-14T05:21:09.760Z,2025-03-14-02-19-50@1,0,4.54,16595943424,914554880,5.51,36.18,16595943424,135909376,0.82,,,,,,,,,,,,,,,
50,2025-03-14T05:20:44.061Z,w3,2025-03-14T05:21:10.764Z,2025-03-14-02-19-50@1,0,1.51,16595943424,917295104,5.53,93.42,16595943424,82534400,0.5,,,,,,,,,,,,,,,
51,2025-03-14T05:20:45.065Z,w3,2025-03-14T05:21:11.767Z,2025-03-14-02-19-50@1,0,15.77,16595943424,915066880,5.51,6.63,16595943424,81387520,0.49,,,,,,,,,,,,,,,
52,2025-03-14T05:20:46.068Z,w3,2025-03-14T05:21:12.771Z,2025-03-14-02-19-50@1,0,1.51,16595943424,920166400,5.54,2.61,16595943424,81137664,0.49,,,,,,,,,,,,,,,
53,2025-03-14T05:20:47.079Z,w3,2025-03-14T05:21:13.774Z,2025-03-14-02-19-50@1,0,0.75,16595943424,920440832,5.55,2.55,16595943424,81387520,0.49,,,,,,,,,,,,,,,
54,2025-03-14T05:20:48.075Z,w3,2025-03-14T05:21:14.778Z,2025-03-14-02-19-50@1,0,0.5,16595943424,920440832,5.55,2.78,16595943424,80584704,0.49,,,,,,,,,,,,,,,
55,2025-03-14T05:20:49.085Z,w3,2025-03-14T05:21:15.781Z,2025-03-14-02-19-50@1,0,0.63,16595943424,920440832,5.55,2.59,16595943424,80584704,0.49,,,,,,,,,,,,,,,
56,2025-03-14T05:20:50.083Z,w3,2025-03-14T05:21:16.785Z,2025-03-14-02-19-50@1,0,1.12,16595943424,920440832,5.55,10.62,16595943424,74432512,0.45,,,,,,,,,,,,,,,
57,2025-03-14T05:20:51.086Z,w3,2025-03-14T05:21:17.789Z,2025-03-14-02-19-50@1,0,2.01,16595943424,912179200,5.5,3.27,16595943424,74780672,0.45,,,,,,,,,,,,,,,
58,2025-03-14T05:20:52.091Z,w3,2025-03-14T05:21:18.793Z,2025-03-14-02-19-50@1,0,0.25,16595943424,912437248,5.5,5.78,16595943424,75984896,0.46,,,,,,,,,,,,,,,
59,2025-03-14T05:20:53.098Z,w3,2025-03-14T05:21:19.797Z,2025-03-14-02-19-50@1,0,1.13,16595943424,915779584,5.52,2.61,16595943424,76460032,0.46,,,,,,,,,,,,,,,
60,2025-03-14T05:20:54.098Z,w3,2025-03-14T05:21:20.801Z,2025-03-14-02-19-50@1,0,0.87,16595943424,916037632,5.52,2.61,16595943424,76206080,0.46,,,,,,,,,,,,,,,
61,2025-03-14T05:20:55.102Z,w3,2025-03-14T05:21:21.804Z,2025-03-14-02-19-50@1,0,0.5,16595943424,916037632,5.52,2.49,16595943424,75964416,0.46,,,,,,,,,,,,,,,
62,2025-03-14T05:20:56.105Z,w3,2025-03-14T05:21:22.808Z,2025-03-14-02-19-50@1,0,0.38,16595943424,916811776,5.52,10.41,16595943424,74858496,0.45,,,,,,,,,,,,,,,
63,2025-03-14T05:20:57.107Z,w3,2025-03-14T05:21:23.811Z,2025-03-14-02-19-50@1,0,2.63,16595943424,909701120,5.48,3.2,16595943424,74702848,0.45,,,,,,,,,,,,,,,
64,2025-03-14T05:20:58.112Z,w3,2025-03-14T05:21:24.814Z,2025-03-14-02-19-50@1,0,0.5,16595943424,909955072,5.48,2.54,16595943424,74698752,0.45,,,,,,,,,,,,,,,
65,2025-03-14T05:20:59.116Z,w3,2025-03-14T05:21:25.818Z,2025-03-14-02-19-50@1,0,1,16595943424,910213120,5.48,2.59,16595943424,74702848,0.45,,,,,,,,,,,,,,,
66,2025-03-14T05:21:00.118Z,w3,2025-03-14T05:21:26.821Z,2025-03-14-02-19-50@1,0,0.63,16595943424,910213120,5.48,2.61,16595943424,75108352,0.45,,,,,,,,,,,,,,,
67,2025-03-14T05:21:01.122Z,w3,2025-03-14T05:21:27.825Z,2025-03-14-02-19-50@1,0,0.75,16595943424,910213120,5.48,2.42,16595943424,74960896,0.45,,,,,,,,,,,,,,,
68,2025-03-14T05:21:02.132Z,w3,2025-03-14T05:21:28.829Z,2025-03-14-02-19-50@1,0,0.63,16595943424,910458880,5.49,10.54,16595943424,75374592,0.45,,,,,,,,,,,,,,,
69,2025-03-14T05:21:03.129Z,w3,2025-03-14T05:21:29.833Z,2025-03-14-02-19-50@1,0,2,16595943424,911749120,5.49,3.23,16595943424,75124736,0.45,,,,,,,,,,,,,,,
70,2025-03-14T05:21:04.135Z,w3,2025-03-14T05:21:30.836Z,2025-03-14-02-19-50@1,0,0.63,16595943424,912252928,5.5,2.61,16595943424,75120640,0.45,,,,,,,,,,,,,,,
71,2025-03-14T05:21:05.145Z,w3,2025-03-14T05:21:31.839Z,2025-03-14-02-19-50@1,0,0.5,16595943424,912252928,5.5,2.59,16595943424,75386880,0.45,,,,,,,,,,,,,,,
72,2025-03-14T05:21:06.140Z,w3,2025-03-14T05:21:32.843Z,2025-03-14-02-19-50@1,0,0.63,16595943424,912252928,5.5,2.55,16595943424,75386880,0.45,,,,,,,,,,,,,,,
73,2025-03-14T05:21:07.144Z,w3,2025-03-14T05:21:33.847Z,2025-03-14-02-19-50@1,0,0.88,16595943424,912252928,5.5,2.44,16595943424,75390976,0.45,,,,,,,,,,,,,,,
74,2025-03-14T05:21:08.148Z,w3,2025-03-14T05:21:34.850Z,2025-03-14-02-19-50@1,0,0.5,16595943424,912510976,5.5,10.73,16595943424,74874880,0.45,,,,,,,,,,,,,,,
75,2025-03-14T05:21:09.155Z,w3,2025-03-14T05:21:35.854Z,2025-03-14-02-19-50@1,0,2.24,16595943424,915603456,5.52,3.21,16595943424,74960896,0.45,,,,,,,,,,,,,,,
76,2025-03-14T05:21:10.159Z,w3,2025-03-14T05:21:36.858Z,2025-03-14-02-19-50@1,0,0.88,16595943424,915603456,5.52,2.63,16595943424,74960896,0.45,,,,,,,,,,,,,,,
77,2025-03-14T05:21:11.158Z,w3,2025-03-14T05:21:37.861Z,2025-03-14-02-19-50@1,0,1,16595943424,915603456,5.52,2.56,16595943424,74698752,0.45,,,,,,,,,,,,,,,
78,2025-03-14T05:21:12.165Z,w3,2025-03-14T05:21:38.865Z,2025-03-14-02-19-50@1,0,0.63,16595943424,915603456,5.52,2.54,16595943424,74895360,0.45,,,,,,,,,,,,,,,
79,2025-03-14T05:21:13.178Z,w3,2025-03-14T05:21:39.869Z,2025-03-14-02-19-50@1,0,1.37,16595943424,915345408,5.52,2.66,16595943424,75198464,0.45,,,,,,,,,,,,,,,
80,2025-03-14T05:21:14.176Z,w3,2025-03-14T05:21:40.876Z,2025-03-14-02-19-50@1,0,0.63,16595943424,915574784,5.52,10.53,16595943424,74248192,0.45,,,,,,,,,,,,,,,
81,2025-03-14T05:21:15.176Z,w3,2025-03-14T05:21:41.877Z,2025-03-14-02-19-50@1,0,1.87,16595943424,908152832,5.47,3.22,16595943424,73986048,0.45,,,,,,,,,,,,,,,
82,2025-03-14T05:21:16.181Z,w3,2025-03-14T05:21:42.881Z,2025-03-14-02-19-50@1,0,0.88,16595943424,908668928,5.48,2.5,16595943424,74252288,0.45,,,,,,,,,,,,,,,
83,2025-03-14T05:21:17.184Z,w3,2025-03-14T05:21:43.885Z,2025-03-14-02-19-50@1,0,0.75,16595943424,908668928,5.48,2.47,16595943424,74252288,0.45,,,,,,,,,,,,,,,
84,2025-03-14T05:21:18.188Z,w3,2025-03-14T05:21:44.888Z,2025-03-14-02-19-50@1,0,1,16595943424,908668928,5.48,2.45,16595943424,74498048,0.45,,,,,,,,,,,,,,,
85,2025-03-14T05:21:19.189Z,w3,2025-03-14T05:21:45.892Z,2025-03-14-02-19-50@1,0,0.63,16595943424,908668928,5.48,2.58,16595943424,74215424,0.45,,,,,,,,,,,,,,,
86,2025-03-14T05:21:20.194Z,w3,2025-03-14T05:21:46.895Z,2025-03-14-02-19-50@1,0,0.88,16595943424,908668928,5.48,10.68,16595943424,74240000,0.45,,,,,,,,,,,,,,,
87,2025-03-14T05:21:21.198Z,w3,2025-03-14T05:21:47.898Z,2025-03-14-02-19-50@1,0,1.26,16595943424,909955072,5.48,3.19,16595943424,73981952,0.45,,,,,,,,,,,,,,,
88,2025-03-14T05:21:22.200Z,w3,2025-03-14T05:21:48.902Z,2025-03-14-02-19-50@1,0,0.5,16595943424,910761984,5.49,2.67,16595943424,73981952,0.45,,,,,,,,,,,,,,,
89,2025-03-14T05:21:23.203Z,w3,2025-03-14T05:21:49.906Z,2025-03-14-02-19-50@1,0,1.12,16595943424,910503936,5.49,2.6,16595943424,73986048,0.45,,,,,,,,,,,,,,,
90,2025-03-14T05:21:24.206Z,w3,2025-03-14T05:21:50.909Z,2025-03-14-02-19-50@1,0,0.38,16595943424,910503936,5.49,2.48,16595943424,74248192,0.45,,,,,,,,,,,,,,,
91,2025-03-14T05:21:25.209Z,w3,2025-03-14T05:21:51.912Z,2025-03-14-02-19-50@1,0,0.87,16595943424,910503936,5.49,2.59,16595943424,73990144,0.45,,,,,,,,,,,,,,,
92,2025-03-14T05:21:26.213Z,w3,2025-03-14T05:21:52.916Z,2025-03-14-02-19-50@1,0,0.38,16595943424,910245888,5.48,11.34,16595943424,73990144,0.45,,,,,,,,,,,,,,,
93,2025-03-14T05:21:27.218Z,w3,2025-03-14T05:21:53.920Z,2025-03-14-02-19-50@1,0,1.89,16595943424,901644288,5.43,3.2,16595943424,73994240,0.45,,,,,,,,,,,,,,,
94,2025-03-14T05:21:28.222Z,w3,2025-03-14T05:21:54.924Z,2025-03-14-02-19-50@1,0,0.88,16595943424,902156288,5.44,2.65,16595943424,73994240,0.45,,,,,,,,,,,,,,,
95,2025-03-14T05:21:29.225Z,w3,2025-03-14T05:21:55.927Z,2025-03-14-02-19-50@1,0,0.5,16595943424,902156288,5.44,2.59,16595943424,74252288,0.45,,,,,,,,,,,,,,,
96,2025-03-14T05:21:30.228Z,w3,2025-03-14T05:21:56.930Z,2025-03-14-02-19-50@1,0,0.63,16595943424,902402048,5.44,2.63,16595943424,74252288,0.45,,,,,,,,,,,,,,,
97,2025-03-14T05:21:31.233Z,w3,2025-03-14T05:21:57.934Z,2025-03-14-02-19-50@1,0,1,16595943424,906596352,5.46,2.64,16595943424,74260480,0.45,,,,,,,,,,,,,,,
98,2025-03-14T05:21:32.237Z,w3,2025-03-14T05:21:58.938Z,2025-03-14-02-19-50@1,0,0.63,16595943424,906854400,5.46,10.63,16595943424,74448896,0.45,,,,,,,,,,,,,,,
99,2025-03-14T05:21:33.246Z,w3,2025-03-14T05:21:59.941Z,2025-03-14-02-19-50@1,0,2.12,16595943424,908935168,5.48,3.17,16595943424,74498048,0.45,,,,,,,,,,,,,,,
100,2025-03-14T05:21:34.243Z,w3,2025-03-14T05:22:00.944Z,2025-03-14-02-19-50@1,0,0.88,16595943424,909193216,5.48,2.64,16595943424,74498048,0.45,,,,,,,,,,,,,,,
101,2025-03-14T05:21:35.247Z,w3,2025-03-14T05:22:01.948Z,2025-03-14-02-19-50@1,0,0.88,16595943424,909438976,5.48,2.56,16595943424,74240000,0.45,,,,,,,,,,,,,,,
102,2025-03-14T05:21:36.250Z,w3,2025-03-14T05:22:02.952Z,2025-03-14-02-19-50@1,0,1.12,16595943424,909438976,5.48,2.56,16595943424,74002432,0.45,,,,,,,,,,,,,,,
103,2025-03-14T05:21:37.253Z,w3,2025-03-14T05:22:03.955Z,2025-03-14-02-19-50@1,0,0.87,16595943424,909955072,5.48,2.29,16595943424,74010624,0.45,,,,,,,,,,,,,,,
104,2025-03-14T05:21:38.259Z,w3,2025-03-14T05:22:04.958Z,2025-03-14-02-19-50@1,0,0.88,16595943424,909955072,5.48,10.68,16595943424,74715136,0.45,,,,,,,,,,,,,,,
105,2025-03-14T05:21:39.260Z,w3,2025-03-14T05:22:05.961Z,2025-03-14-02-19-50@1,0,1.51,16595943424,913301504,5.5,3.28,16595943424,75132928,0.45,,,,,,,,,,,,,,,
106,2025-03-14T05:21:40.266Z,w3,2025-03-14T05:22:06.965Z,2025-03-14-02-19-50@1,0,0.63,16595943424,913301504,5.5,2.62,16595943424,75124736,0.45,,,,,,,,,,,,,,,
